DW_TEMPO;invoice_date;Ano;Mes;Dia
71319c81ca501680a6612b05867af04f269c05c0c9177b778da64fcb70e958aa;2018-03-26;2018;3;26
1865d0b7a4ea88ccfdc7d68945191fcdacbfc76f25e9a0882671d233a30792d6;2018-12-03;2018;12;3
7a112c13894f08c4c00f05477963f5cc3c5d26cc41e4c7d5e5846abdd9c3a9f9;2019-03-18;2019;3;18
04af1a82164bb2a42d767cf76deea8d062590693a31e17dda6821abf3ff65db4;2017-05-18;2017;5;18
670490897f9654c00f15bbe382dd979d2fa67341a052f180cb675c7a49f2a53a;2017-09-15;2017;9;15
842bbbc292d22052e10daab77cbee89abf50c2cf92cccfbb6aba4e047356035e;2018-06-30;2018;6;30
3c3475aba9add56ced3fd3d2de88b9313e7231e57bb1a7b116337406a21d4321;2019-02-05;2019;2;5
ab50d94c8172f233b751cda1cff65e980e659fc91fe23337de61566d47564a17;2018-02-08;2018;2;8
551fb9a2d96bd93b0b37b49f1438fcb881e2dec9096b4cee6fe32ca6b3eef532;2017-10-01;2017;10;1
89488ecaf090da762ca5292849402d1a98b45756377dcb6567559a6b993c2bea;2017-06-10;2017;6;10
e2485235935212c9833e0225399250c7c7f80bc7e050af7a542eca5705687f0d;2018-10-27;2018;10;27
493cefa54d7861a65dc0b6492e5ece3494697e4527cecef5e43ae44c43a1b4ff;2017-12-03;2017;12;3
6fedd7995b6c03d53b1067edd20978451ccc18d7cb857e5679d277de3379862c;2018-07-29;2018;7;29
a302415c4c4b25b19185a6fa98d864d86ae6247648eed49a2eda6fb226744f79;2017-11-29;2017;11;29
367d5eb45f5f111240d1b1bc7bce49441c73ebadd49f63083fc91461a9d01d4f;2019-01-28;2019;1;28
c3da1f3085f3d7487295f019d7c77f97d8276c21e3804c6eef9a9ce05719473d;2017-05-24;2017;5;24
81398337a7e321158b4ad5c64d33961a932afd93b512f259db7a2f5600ca3326;2017-03-11;2017;3;11
b640fa5750b0d044c2b90af0c1045e136a63a8a983158140f0a54df69e134f3c;2018-01-15;2018;1;15
c0e65aaa8ac4fa09ab0178b99710d013f4cd1861950ce8f103ed3ca9edaf29ce;2017-06-22;2017;6;22
a1c4d1149aa15afe7a52b84823dec9d0eac4103c4f128ea55b4948bc3ec4dea0;2017-06-15;2017;6;15
be3b7658510376f94e46ea987ffb5bbeeb3ba06e636fc2bb283f834ab60bd46a;2017-01-26;2017;1;26
be1d32cbb053720ad09c50fff9cb4d7ebcb54882421f8281bc7d24aa43ea6208;2018-04-11;2018;4;11
92a8f917aca814b1d7eab05f3e8722a4ccc7b2b499fbdf872367b5067bd7dd2e;2018-12-18;2018;12;18
a522268911c7fcff215abb914084521239cb1e0bd07c4b6e8359625e3a168dc4;2017-07-28;2017;7;28
5354799c37d0d34528eddf37e16a8e4b35f9427606a241caff8e75a439c79f6b;2019-02-27;2019;2;27
87b6fd0af06b503d5005eff19735dd0322305037698c29100dcacc648dcd75f9;2018-12-31;2018;12;31
d61e5eadecd1202ac9ab7f6954e5d6d60fd3aadb09c28945a31af934cb06770f;2017-08-06;2017;8;6
26303214c7d154db763283bfd8010dca6f98b2c530e93879702b382e254199ed;2017-06-14;2017;6;14
4a4e0e7789667eefc3d69a5fba7699a71a8f42731830d1f5a08a150ab726dca3;2017-06-21;2017;6;21
d752df8e39fb7155a92a535c05e5a63722f42fb6be769f191f1f798ae58e4c68;2018-07-08;2018;7;8
c29303d8b136d33a94f6ae6fe72a98733655eb032d5392130313f80a44f0249e;2018-11-18;2018;11;18
53912b0e668c4daa4c0cafff83bb1ce7c4f86844e3d819f33ce9764937cb332b;2018-08-21;2018;8;21
ab268820a361c9c199be6cbdeb2eb4d34a2b03f2f81bbee292551673d4ce2c3d;2018-04-14;2018;4;14
a08cb63e95a51ea4dcae2a4fbde9abe9adc1fadd8fb3baec1456f38fd185e3c7;2017-08-03;2017;8;3
